CITY,NUM
losangeles.craigslist.org,893
lasvegas.craigslist.org,800
orangecounty.craigslist.org,788
inlandempire.craigslist.org,732
atlanta.craigslist.org,579
denver.craigslist.org,412
miami.craigslist.org,399
odessa.craigslist.org,385
newyork.craigslist.org,378
newyork.craigslist.org,378
phoenix.craigslist.org,376
wyoming.craigslist.org,375
nashville.craigslist.org,349
nh.craigslist.org,301
omaha.craigslist.org,288
philadelphia.craigslist.org,288
pittsburgh.craigslist.org,281
lexington.craigslist.org,276
maine.craigslist.org,272
washingtondc.craigslist.org,266
toronto.craigslist.org,264
norfolk.craigslist.org,263
sfbay.craigslist.org,262
carbondale.craigslist.org,254
buffalo.craigslist.org,249
minneapolis.craigslist.org,248
providence.craigslist.org,245
kansascity.craigslist.org,234
austin.craigslist.org,231
louisville.craigslist.org,223
stlouis.craigslist.org,222
richmond.craigslist.org,220
richmond.craigslist.org,220
delaware.craigslist.org,210
raleigh.craigslist.org,204
raleigh.craigslist.org,204
bakersfield.craigslist.org,199
fresno.craigslist.org,198
boston.craigslist.org,197
cnj.craigslist.org,196
ventura.craigslist.org,193
portland.craigslist.org,187
southjersey.craigslist.org,186
tampa.craigslist.org,183
charlotte.craigslist.org,178
newjersey.craigslist.org,176
vancouver.craigslist.org,175
vancouver.craigslist.org,175
lubbock.craigslist.org,175
eastnc.craigslist.org,173
dayton.craigslist.org,172
baltimore.craigslist.org,168
indianapolis.craigslist.org,166
hudsonvalley.craigslist.org,163
reno.craigslist.org,162
cincinnati.craigslist.org,157
eugene.craigslist.org,154
spokane.craigslist.org,152
mobile.craigslist.org,152
houston.craigslist.org,147
honolulu.craigslist.org,145
anchorage.craigslist.org,145
bham.craigslist.org,138
santamaria.craigslist.org,137
fayetteville.craigslist.org,137
smd.craigslist.org,128
tucson.craigslist.org,127
gulfport.craigslist.org,124
fortmyers.craigslist.org,124
greenville.craigslist.org,124
columbusga.craigslist.org,121
jackson.craigslist.org,121
santabarbara.craigslist.org,120
columbus.craigslist.org,120
jerseyshore.craigslist.org,119
easternshore.craigslist.org,119
chicago.craigslist.org,119
worcester.craigslist.org,118
albuquerque.craigslist.org,118
fayar.craigslist.org,117
westernmass.craigslist.org,116
saltlakecity.craigslist.org,116
newlondon.craigslist.org,116
humboldt.craigslist.org,116
rapidcity.craigslist.org,114
batonrouge.craigslist.org,113
memphis.craigslist.org,112
columbia.craigslist.org,111
slo.craigslist.org,107
scranton.craigslist.org,105
longisland.craigslist.org,105
visalia.craigslist.org,104
westslope.craigslist.org,104
stockton.craigslist.org,103
shreveport.craigslist.org,103
nmi.craigslist.org,103
oklahomacity.craigslist.org,102
rochester.craigslist.org,100
bellingham.craigslist.org,98
hickory.craigslist.org,98
madison.craigslist.org,96
sandiego.craigslist.org,95
seattle.craigslist.org,92
seattle.craigslist.org,92
springfield.craigslist.org,91
reading.craigslist.org,91
neworleans.craigslist.org,90
missoula.craigslist.org,90
cleveland.craigslist.org,89
